#Poly ID,X,Y,Usage,/,Camera
1,503193,4080537,30,/,Reconyx
2,502713,4079509,30,/,Reconyx
3,526535,4077758,29,/,Reconyx
4,525628,4076249,29,/,Reconyx
5,496405,4080444,28,/,Reconyx
6,499893,4079738,28,/,Cam_Trekker
7,496357,4082381,28,/,Reconyx
8,502858,4079081,27,/,Cam_Trekker
9,511947,4079969,27,/,Cam_Trekker
10,514878,4081707,27,/,Cam_Trekker
11,508740,4095458,10,/,Reconyx
12,499804,4089899,10,/,Reconyx
13,503482,4092938,11,/,Reconyx
14,502425,4091159,11,/,Reconyx
15,501809,4089965,10,/,Reconyx
16,509578,4094619,10,/,Reconyx
17,513605,4091991,10,/,Reconyx
18,511632,4093254,10,/,Reconyx
19,515103,4091091,10,/,Reconyx
20,515978,4090649,10,/,Reconyx
21,501417,4086884,11,/,Reconyx
22,500913,4089356,11,/,Reconyx
23,501451,4087920,10,/,Reconyx
24,512923,4086489,11,/,Reconyx
25,513487,4085534,11,/,Reconyx
26,516967,4088127,10,/,Reconyx
27,518601,4085928,10,/,Reconyx
28,522258,4086920,10,/,Reconyx
29,520872,4086214,10,/,Reconyx
30,528457,4088641,10,/,Reconyx
31,526649,4089176,10,/,Reconyx
32,496367,4080390,10,/,Reconyx
33,496768,4082038,10,/,Reconyx
34,503198,4080526,10,/,Reconyx
35,502802,4083215,10,/,Reconyx
36,503128,4081838,10,/,Reconyx
37,507476,4080955,10,/,Reconyx
38,507551,4079789,10,/,Reconyx
39,514212,4084748,11,/,Reconyx
40,514905,4084037,11,/,Reconyx
41,512041,4080693,10,/,Reconyx
42,517867,4084272,10,/,Reconyx
43,517087,4083622,10,/,Reconyx
44,515111,4082053,10,/,Reconyx
45,524138,4084874,10,/,Reconyx
46,525664,4080107,11,/,Reconyx
47,525892,4080691,11,/,Reconyx
48,487349,4075229,10,/,Reconyx
49,487894,4076545,10,/,Reconyx
50,496902,4079630,10,/,Reconyx
51,499304,4079254,10,/,Reconyx
52,496106,4074695,10,/,Reconyx
53,502517,4078950,10,/,Reconyx
54,501743,4077085,10,/,Reconyx
55,507683,4079046,10,/,Reconyx
56,507169,4077317,10,/,Reconyx
57,509693,4079739,10,/,Reconyx
58,512455,4079178,10,/,Reconyx
59,513732,4077251,10,/,Reconyx
60,516886,4078104,12,/,Reconyx
61,517330,4076574,12,/,Reconyx
62,517653,4077984,10,/,Reconyx
63,522558,4077367,11,/,Reconyx
64,521480,4077186,11,/,Reconyx
65,526969,4078321,10,/,Reconyx
66,525894,4076855,10,/,Reconyx
67,532932,4077201,12,/,Reconyx
68,534271,4077647,12,/,Reconyx
69,535585,4078190,12,/,Reconyx
70,536709,4078382,12,/,Reconyx
71,488492,4070872,9,/,Reconyx
72,487666,4071707,10,/,Reconyx
73,487886,4070178,10,/,Reconyx
74,493255,4072433,11,/,Reconyx
75,492144,4072897,11,/,Reconyx
76,494628,4073677,10,/,Reconyx
77,498366,4072024,11,/,Reconyx
78,499046,4071369,11,/,Reconyx
79,495065,4072569,10,/,Reconyx
80,500098,4070279,10,/,Reconyx
81,506513,4074752,10,/,Reconyx
82,514716,4074328,10,/,Reconyx
83,524466,4074840,11,/,Reconyx
84,524525,4075785,10,/,Reconyx
85,525912,4074442,11,/,Reconyx
86,529180,4074077,11,/,Reconyx
87,530019,4073259,11,/,Reconyx
88,530493,4071446,11,/,Reconyx
89,532030,4069744,11,/,Reconyx
90,532939,4069601,11,/,Reconyx
91,484779,4065240,10,/,Reconyx
92,484877,4066301,10,/,Reconyx
93,484791,4067024,10,/,Reconyx
94,485857,4066078,10,/,Reconyx
95,487203,4069441,10,/,Reconyx
96,483803,4064782,10,/,Reconyx
97,524967,4033053,10,/,Reconyx
98,523305,4033312,10,/,Reconyx
99,529890,4040121,10,/,Reconyx
100,530114,4041700,10,/,Reconyx
101,520532,4037484,10,/,Reconyx
102,522131,4037407,10,/,Reconyx
103,529254,4034949,10,/,Reconyx
104,527977,4035123,10,/,Reconyx
105,532125,4035759,10,/,Reconyx
106,532211,4038226,10,/,Reconyx
107,537972,4036375,10,/,Reconyx
108,534870,4037025,11,/,Reconyx
109,541832,4035648,10,/,Reconyx
110,540464,4036319,10,/,Reconyx
111,529832,4031425,12,/,Reconyx
112,527219,4031913,12,/,Reconyx
113,531543,4033706,10,/,Reconyx
114,533240,4032326,10,/,Reconyx
115,536166,4032884,10,/,Reconyx
116,535739,4031378,10,/,Reconyx
117,540704,4034301,10,/,Reconyx
118,541609,4034081,10,/,Reconyx
119,530036,4029589,12,/,Reconyx
120,526901,4029515,12,/,Reconyx
121,534473,4025911,10,/,Reconyx
122,534231,4029400,10,/,Reconyx
123,538286,4024561,10,/,Reconyx
124,540146,4024433,10,/,Reconyx
125,540753,4020237,10,/,Reconyx
126,541234,4020607,10,/,Reconyx
127,546712,4021177,10,/,Reconyx
128,546548,4021841,10,/,Reconyx
129,543579,4016162,10,/,Reconyx
130,543557,4018506,10,/,Reconyx
131,543769,4011939,10,/,Reconyx
132,543632,4013847,10,/,Reconyx
133,480509,4073685,30,/,Reconyx
134,481025,4075606,30,/,Reconyx
135,481111,4077412,30,/,Reconyx
136,481801,4078969,30,/,Reconyx
137,476275,4072721,30,/,Reconyx
138,478775,4070443,30,/,Reconyx
139,480927,4068328,30,/,Reconyx
140,473922,4076830,33,/,Reconyx
141,473657,4078453,30,/,Reconyx
142,474504,4080566,34,/,Reconyx
143,474627,4082315,34,/,Reconyx
144,474208,4083867,30,/,Reconyx
145,475105,4085105,30,/,Reconyx
146,474882,4086292,30,/,Reconyx
147,477602,4088669,30,/,Reconyx
148,479459,4089567,30,/,Reconyx
149,480493,4091410,30,/,Reconyx
150,481545,4093273,30,/,Reconyx
151,482668,4094940,30,/,Reconyx
152,485143,4095491,30,/,Reconyx
