#PolyID	X	Y	Usage	/	Topography	Habitats	Altitude
T001	218332.7362	3237204.051	1965.53	/	Valleybottom	GrasslandScrubland	4706.8
T001	217651.7537	3238843.232	1965.53	/	Valleybottom	GrasslandScrubland	4706.84
T002	218103.8445	3239851.824	422.75	/	LivestocktrailOpen	Grassland	4777.2
T002	217850.1651	3240013.048	422.75	/	LivestocktrailOpen	Grassland	4777.20
T003	218693.6537	3240877.703	928.65	/	Valleybottom	Grassland	4819.5
T003	217965.4127	3240355.443	928.65	/	Valleybottom	Grassland	4819.50
T004	217273.8761	3242469.838	2180.59	/	Valleybottom	Grassland	4842.7
T004	217925.3472	3240648.343	2180.59	/	Valleybottom	Grassland	4842.69
T005	217597.9901	3243999.138	1867.88	/	Valleybottom	Grassland	5009.5
T005	217071.665	3242721.989	1867.88	/	Valleybottom	Grassland	5009.51
T006	216951.2113	3241397.953	1812.91	/	LivestocktrailOpen	Grassland	5051.0
T006	216727.9379	3242994.207	1812.91	/	LivestocktrailOpen	Grassland	5051.03
T007	216382.5824	3240272.68	1633.67	/	LivestocktrailOpen	Grassland	5029.0
T007	216592.3056	3241674.192	1633.67	/	LivestocktrailOpen	Grassland	5028.99
T008	215405.6839	3240230.387	2375.13	/	Ridgeline	Grassland	4839.7
T008	215586.2803	3241453.733	2375.13	/	Ridgeline	Grassland	4839.71
T009	214696.1709	3243405.229	1189.61	/	Ridgeline	Grassland	5059.5
T009	215729.2571	3243000.716	1189.61	/	Ridgeline	Grassland	5059.47
T010	215429.0549	3241734.162	2400.22	/	Ridgeline	Grassland	4842.7
T010	214784.5338	3243143.248	2400.22	/	Ridgeline	Grassland	4842.71
T011	212686.916	3240853.761	2864.39	/	Valleybottom	Scrubland	4754.6
T011	215166.3134	3241426.143	2864.39	/	Valleybottom	Scrubland	4754.57
T012	217620.5016	3238839.222	1818.50	/	Ridgeline	Scrubland	4831.4
T012	216690.0374	3240134.413	1818.50	/	Ridgeline	Scrubland	4831.44
T013	217544.7817	3240412.607	1187.03	/	LivestocktrailOpen	GrasslandScrubland	4879.7
T013	216624.3689	3240362.243	1187.03	/	LivestocktrailOpen	GrasslandScrubland	4879.67
T014	215785.7651	3243012.558	948.91	/	Ridgeline	BarrenSandGravel	5075.46
T014	216599.9862	3243331.283	948.91	/	Ridgeline	BarrenSandGravel	5075.46
T015	207505.5979	3231954.296	1918.48	/	Ridgeline	BarrenSandGravel	3870.34
T015	205950.3456	3232457.437	1918.48	/	Ridgeline	BarrenSandGravel	3870.34
T016	207429.503	3231327.346	930.05	/	Ridgeline	GrasslandScrubland	3873.28
T016	207576.0435	3231912.597	930.05	/	Ridgeline	GrasslandScrubland	3873.28
T017	206565.5981	3230676.749	1908.68	/	Ridgeline	GrasslandScrubland	3714.30
T017	207027.1606	3230913.407	1908.68	/	Ridgeline	GrasslandScrubland	3714.30
T018	207104.2572	3229702.932	1004.28	/	Ridgeline	GrasslandScrubland	3747.09
T018	206541.856	3230233.87	1004.28	/	Ridgeline	GrasslandScrubland	3747.09
T019	207599.3471	3229237.906	841.62	/	Ridgeline	GrasslandScrubland	3941.89
T019	207213.3412	3229687.972	841.62	/	Ridgeline	GrasslandScrubland	3941.89
T020	207213.3304	3228797.437	774.24	/	Ridgeline	GrasslandScrubland	4046.33
T020	207635.6984	3229162.059	774.24	/	Ridgeline	GrasslandScrubland	4046.33
T021	208207.4475	3228587.808	817.15	/	Valleybottom	BarrenSandGravel	3538.11
T021	207862.8446	3227941.788	817.15	/	Valleybottom	BarrenSandGravel	3538.11
T022	208142.3881	3229565.705	878.37	/	Valleybottom	BarrenSandGravel	3566.80
T022	208126.0001	3228746.899	878.37	/	Valleybottom	BarrenSandGravel	3566.80
T023	208150.1479	3229717.721	1527.63	/	Valleybottom	BarrenSandGravel	3594.41
T023	207285.197	3230629.402	1527.63	/	Valleybottom	BarrenSandGravel	3594.41
T024	209939.0014	3229837.634	1635.88	/	Valleybottom	BarrenSandGravel	3600.00
T024	209635.7602	3230082.711	1635.88	/	Valleybottom	BarrenSandGravel	3600.00
T024	209482.7216	3230007.24	1635.88	/	Valleybottom	BarrenSandGravel	3600.00
T024	209181.1397	3230091.205	1635.88	/	Valleybottom	BarrenSandGravel	3600.00
T024	208798.1387	3229768.842	1635.88	/	Valleybottom	BarrenSandGravel	3600.00
T025	207536.2736	3230562.033	911.85	/	Ridgeline	Grassland	4000.00
T025	208305.5311	3230421.809	911.85	/	Ridgeline	Grassland	4000.00
T026	208374.7344	3230458.786	878.70	/	Ridgeline	BarrenSandGravel	4000.00
T026	208958.1964	3230970.864	878.70	/	Ridgeline	BarrenSandGravel	4000.00
T027	209002.6063	3231016.573	4733.21	/	LivestocktrailCliff	Grassland	4200.00
T027	209048.9695	3231111.1	4733.21	/	LivestocktrailCliff	Grassland	4200.00
T027	209061.2259	3231147.774	4733.21	/	LivestocktrailCliff	Grassland	4200.00
T028	214380.6875	3231531.664	4209.08	/	Ridgeline	GrasslandScrubland	4608.00
T028	212526.9668	3232980.012	4209.08	/	Ridgeline	GrasslandScrubland	4608.00
T028	213500.5666	3231656.71	4209.08	/	Ridgeline	GrasslandScrubland	4608.00
T029	208171.4764	3233967.988	1489.11	/	Valleybottom	BarrenSandGravel	3750.00
T029	208197.7284	3233992.165	1489.11	/	Valleybottom	BarrenSandGravel	3750.00
T030	209441.9387	3234831.029	4553.96	/	Valleybottom	BarrenSandGravel	3905.00
T030	211435.6804	3235433.525	4553.96	/	Valleybottom	BarrenSandGravel	3905.00
T030	212108.4788	3235918.488	4553.96	/	Valleybottom	BarrenSandGravel	3905.00
T030	213323.6907	3236336.798	4553.96	/	Valleybottom	BarrenSandGravel	3905.00
T030	212170.3302	3235978.435	4553.96	/	Valleybottom	BarrenSandGravel	3905.00
T031	213401.8132	3236295.316	307.57	/	Ridgeline	Scrubland	4267.00
T031	213636.1396	3236422.333	307.57	/	Ridgeline	Scrubland	4267.00
T032	195231.4155	3226373.219	3921.94	/	LivestocktrailOpen	GrasslandScrubland	4337.00
T032	196343.7709	3223362.743	3921.94	/	LivestocktrailOpen	GrasslandScrubland	4337.00
T033	196729.5837	3224507.099	3423.80	/	LivestocktrailOpen	GrasslandScrubland	4096.00
T033	195868.5143	3226132.813	3423.80	/	LivestocktrailOpen	GrasslandScrubland	4096.00
T034	195836.6428	3227154.679	1088.64	/	Ridgeline	GrasslandScrubland	4562.00
T034	195817.1282	3227141.201	1088.64	/	Ridgeline	GrasslandScrubland	4562.00
T035	196288.9156	3226447.069	2209.22	/	LivestocktrailOpen	GrasslandScrubland	3808.00
T035	196733.3879	3225903.779	2209.22	/	LivestocktrailOpen	GrasslandScrubland	3808.00
T036	195771.8641	3226320.323	469.11	/	LivestocktrailOpen	Scrubland	4532.00
T036	195664.279	3226655.933	469.11	/	LivestocktrailOpen	Scrubland	4532.00
T037	195699.1418	3226706.242	386.71	/	LivestocktrailOpen	Scrubland	4582.00
T037	195663.1849	3227069.888	386.71	/	LivestocktrailOpen	Scrubland	4582.00
T038	195668.5715	3226674.955	258.17	/	Ridgeline	GrasslandScrubland	4605.00
T038	195919.1592	3226651.114	258.17	/	Ridgeline	GrasslandScrubland	4605.00
T039	195543.5343	3218293.809	2708.10	/	LivestocktrailOpen	Grassland	3552.00
T039	194235.0018	3216325.429	2708.10	/	LivestocktrailOpen	Grassland	3552.00
T040	195251.9734	3218827.595	1847.35	/	LivestocktrailOpen	Grassland	3659.00
T040	193701.5174	3219099.862	1847.35	/	LivestocktrailOpen	Grassland	3659.00
T041	192202.7306	3219316.327	1762.13	/	Ridgeline	Grassland	3903.00
T041	193595.1328	3219055.735	1762.13	/	Ridgeline	Grassland	3903.00
T042	192081.0822	3219436.814	1670.42	/	LivestocktrailCliff	Scrubland	3882.00
T042	190570.2605	3219652.687	1670.42	/	LivestocktrailCliff	Scrubland	3882.00
T043	192261.3963	3220206.331	2895.70	/	Valleybottom	BarrenSandGravel	3713.00
T043	195030.4156	3219946.981	2895.70	/	Valleybottom	BarrenSandGravel	3713.00
T044	194725.0037	3221305.998	2514.14	/	LivestocktrailOpen	GrasslandScrubland	3978.00
T044	193222.241	3220293.692	2514.14	/	LivestocktrailOpen	GrasslandScrubland	3978.00
T045	181748.5737	3200134.782	3204.65	/	LivestocktrailCliff	GrasslandScrubland	3905.00
T045	179811.9996	3201168.511	3204.65	/	LivestocktrailCliff	GrasslandScrubland	3905.00
T046	179076.9732	3201633.111	2804.49	/	LivestocktrailCliff	Grassland	3536.00
T046	177910.4729	3201328.327	2804.49	/	LivestocktrailCliff	Grassland	3536.00
T047	177011.9792	3201213.004	1370.95	/	LivestocktrailCliff	GrasslandScrubland	3815.00
T047	176149.7601	3201856.055	1370.95	/	LivestocktrailCliff	GrasslandScrubland	3815.00
T048	175010.9219	3202012.945	582.81	/	Ridgeline	GrasslandScrubland	3800.00
T048	175284.6159	3201604.714	582.81	/	Ridgeline	GrasslandScrubland	3800.00
T049	172300.8317	3201825.622	1436.02	/	LivestocktrailCliff	GrasslandScrubland	3920.00
T049	171447.9533	3201788.21	1436.02	/	LivestocktrailCliff	GrasslandScrubland	3920.00
T049	171291.7151	3201800.201	1436.02	/	LivestocktrailCliff	GrasslandScrubland	3920.00
T050	175077.2492	3201718.273	2104.73	/	LivestocktrailOpen	GrasslandScrubland	3604.00
T050	174032.2172	3202002.404	2104.73	/	LivestocktrailOpen	GrasslandScrubland	3604.00
T050	174046.4123	3201996.893	2104.73	/	LivestocktrailOpen	GrasslandScrubland	3604.00
T051	176027.9623	3201485.216	3210.95	/	LivestocktrailOpen	Grassland	4121.00
T051	176285.9296	3201066.496	3210.95	/	LivestocktrailOpen	Grassland	4121.00
T052	178939.0379	3199437.588	2148.52	/	LivestocktrailCliff	GrasslandScrubland	4396.00
T052	177820.4219	3200349.671	2148.52	/	LivestocktrailCliff	GrasslandScrubland	4396.00
T053	179759.875	3201118.283	535.58	/	Valleybottom	Scrubland	3469.00
T053	179610.588	3201575.013	535.58	/	Valleybottom	Scrubland	3469.00
T054	175338.7694	3201697.932	785.27	/	LivestocktrailOpen	Grassland	3823.00
T054	176005.4946	3201881.757	785.27	/	LivestocktrailOpen	Grassland	3823.00
T055	171060.2737	3203089.473	2895.87	/	LivestocktrailCliff	Scrubland	4030.00
T055	170776.7137	3202055.956	2895.87	/	LivestocktrailCliff	Scrubland	4030.00
T056	170897.5768	3201802.799	1312.20	/	Valleybottom	BarrenSandGravel	3680.00
T056	170456.3058	3201593.776	1312.20	/	Valleybottom	BarrenSandGravel	3680.00
T056	170770.2277	3201656.381	1312.20	/	Valleybottom	BarrenSandGravel	3680.00
T056	169995.4802	3201563.918	1312.20	/	Valleybottom	BarrenSandGravel	3680.00
T057	173471.2034	3201870.142	1991.72	/	Ridgeline	GrasslandScrubland	3917.00
T057	172899.5738	3202011.92	1991.72	/	Ridgeline	GrasslandScrubland	3917.00
T058	171444.6576	3202460.303	1494.22	/	LivestocktrailOpen	Scrubland	4079.00
T058	171152.3024	3203107.519	1494.22	/	LivestocktrailOpen	Scrubland	4079.00
T059	170912.0933	3201814.74	996.88	/	LivestocktrailCliff	Scrubland	3889.00
T059	171475.6756	3202420.443	996.88	/	LivestocktrailCliff	Scrubland	3889.00
T060	179530.5835	3199279.739	3488.24	/	LivestocktrailOpen	Grassland	4380.00
T060	182442.006	3199248.812	3488.24	/	LivestocktrailOpen	Grassland	4380.00
T061	182479.6859	3198864.874	3515.28	/	LivestocktrailCliff	GrasslandScrubland	3911.00
T061	182596.1192	3197033.942	3515.28	/	LivestocktrailCliff	GrasslandScrubland	3911.00
T062	185829.284	3185158.389	2297.59	/	LivestocktrailOpen	Scrubland	3641.00
T062	184510.8957	3185532.65	2297.59	/	LivestocktrailOpen	Scrubland	3641.00
T063	184896.7515	3185959.94	2372.14	/	LivestocktrailOpen	Scrubland	3986.00
T063	186981.3316	3186245.388	2372.14	/	LivestocktrailOpen	Scrubland	3986.00
T064	184791.8407	3186590.698	1678.44	/	LivestocktrailOpen	Scrubland	4078.00
T064	186321.4596	3186530.236	1678.44	/	LivestocktrailOpen	Scrubland	4078.00
T065	187095.5158	3186217.739	1179.69	/	LivestocktrailCliff	Scrubland	4268.00
T065	187710.7799	3185364.074	1179.69	/	LivestocktrailCliff	Scrubland	4268.00
T066	187451.4342	3185319.002	1661.13	/	Ridgeline	Scrubland	4055.00
T066	187006.4236	3185597.143	1661.13	/	Ridgeline	Scrubland	4055.00
T067	185845.1441	3185761.23	1818.67	/	LivestocktrailOpen	Scrubland	3981.00
T067	187432.4047	3185185.612	1818.67	/	LivestocktrailOpen	Scrubland	3981.00
T068	187450.7343	3184918.544	1835.58	/	LivestocktrailOpen	Scrubland	3830.00
T068	185995.9642	3185217.417	1835.58	/	LivestocktrailOpen	Scrubland	3830.00
T069	187659.3552	3183596.035	2197.51	/	LivestocktrailOpen	Scrubland	4110.00
T069	187582.3831	3185126.258	2197.51	/	LivestocktrailOpen	Scrubland	4110.00
T070	184653.4863	3185412.255	1425.53	/	LivestocktrailOpen	Scrubland	3498.00
T070	183690.4338	3185871.792	1425.53	/	LivestocktrailOpen	Scrubland	3498.00
T071	186229.0965	3186737.024	788.29	/	Ridgeline	Scrubland	4311.00
T071	186896.4529	3186692.907	788.29	/	Ridgeline	Scrubland	4311.00
T072	186777.1628	3184116.282	1079.51	/	Ridgeline	Scrubland	4149.00
T072	187587.0551	3183526.858	1079.51	/	Ridgeline	Scrubland	4149.00
T073	196688.4236	3191178.954	2213.01	/	LivestocktrailOpen	GrasslandScrubland	3975.00
T073	194781.7829	3191801.534	2213.01	/	LivestocktrailOpen	GrasslandScrubland	3975.00
T074	195139.7406	3192159.547	1317.14	/	LivestocktrailCliff	GrasslandScrubland	3917.00
T074	196200.092	3191511.765	1317.14	/	LivestocktrailCliff	GrasslandScrubland	3917.00
T075	196116.007	3192946.344	1607.75	/	Ridgeline	Grassland	3808.00
T075	196022.8872	3193043.016	1607.75	/	Ridgeline	Grassland	3808.00
T076	196050.1627	3193540.283	1502.39	/	LivestocktrailCliff	GrasslandScrubland	3839.00
T076	195031.7746	3193123.998	1502.39	/	LivestocktrailCliff	GrasslandScrubland	3839.00
T077	196193.0401	3193507.555	1637.39	/	Valleybottom	BarrenSandGravel	3867.80
T077	196864.8118	3193493.349	1637.39	/	Valleybottom	BarrenSandGravel	3867.80
T077	196558.4007	3193490.435	1637.39	/	Valleybottom	BarrenSandGravel	3867.80
T078	198407.1715	3192998.617	1158.29	/	LivestocktrailOpen	Scrubland	4355.79
T078	198170.7917	3193426.262	1158.29	/	LivestocktrailOpen	Scrubland	4355.79
T079	198988.3484	3192711.501	2496.75	/	LivestocktrailOpen	GrasslandScrubland	3875.56
T079	198032.1832	3193951.66	2496.75	/	LivestocktrailOpen	GrasslandScrubland	3875.56
T080	197342.8528	3193705.182	1800.03	/	LivestocktrailCliff	Scrubland	4120.42
T080	197322.9263	3193713.193	1800.03	/	LivestocktrailCliff	Scrubland	4120.42
T080	197237.1877	3194177.778	1800.03	/	LivestocktrailCliff	Scrubland	4120.42
T081	195951.35	3193867.391	1365.55	/	LivestocktrailCliff	BarrenSandGravel	3982.41
T081	194727.4838	3193886.62	1365.55	/	LivestocktrailCliff	BarrenSandGravel	3982.41
T082	197452.1864	3193100.247	1204.04	/	Valleybottom	GrasslandScrubland	4168.99
T082	198453.633	3192965.819	1204.04	/	Valleybottom	GrasslandScrubland	4168.99
T083	198142.9255	3193421.224	985.18	/	Ridgeline	GrasslandScrubland	4462.72
T083	197616.5976	3193961.085	985.18	/	Ridgeline	GrasslandScrubland	4462.72
T084	195075.9485	3193691.747	760.40	/	Ridgeline	GrasslandScrubland	3821.92
T084	194384.0724	3193535.06	760.40	/	Ridgeline	GrasslandScrubland	3821.92
